COMMERCIAL HARBOR ISLAND,610,1
COMMERCIAL DUWAMISH,1441,2
PIGEON POINT,2525,3
EASTLAKE - EAST,3835,4
GENESEE,7081,5
MADISON PARK,8158,6
SOUTH DELRIDGE,8356,7
FAUNTLEROY SW,11051,8
ALKI,11204,9
SOUTH BEACON HILL,11435,10
CLAREMONT/RAINIER VISTA,11748,11
HILLMAN CITY,12115,12
NEW HOLLY,13821,13
HIGH POINT,14878,14
MILLER PARK,14883,15
EASTLAKE - WEST,14986,16
COLUMBIA CITY,15680,17
NORTH DELRIDGE,15744,18
LAKEWOOD/SEWARD PARK,16861,19
SOUTH PARK,17021,20
MONTLAKE/PORTAGE BAY,17249,21
UNKNOWN,18809,22
JUDKINS PARK/NORTH BEACON HILL,18910,23
MORGAN,19595,24
PHINNEY RIDGE,20840,25
NORTH ADMIRAL,21651,26
GEORGETOWN,23324,27
HIGHLAND PARK,25542,28
RAINIER BEACH,25935,29
RAINIER VIEW,26412,30
MID BEACON HILL,28787,31
ALASKA JUNCTION,29231,32
MADRONA/LESCHI,30689,33
MOUNT BAKER,30989,34
ROXHILL/WESTWOOD/ARBOR HEIGHTS,33273,35
MAGNOLIA,34956,36
BRIGHTON/DUNLAP,35046,37
SODO,36964,38
NORTH BEACON HILL,40735,39
PIONEER SQUARE,41122,40
WALLINGFORD,42760,41
FREMONT,43475,42
BITTERLAKE,44859,43
GREENWOOD,48097,44
BALLARD NORTH,49359,45
SANDPOINT,49473,46
CENTRAL AREA/SQUIRE PARK,56653,47
LAKECITY,57129,48
CHINATOWN/INTERNATIONAL DISTRICT,59242,49
BALLARD SOUTH,62674,50
FIRST HILL,63294,51
BELLTOWN,74583,52
ROOSEVELT/RAVENNA,80694,53
UNIVERSITY,90045,54
SLU/CASCADE,103970,55
QUEEN ANNE,120179,56
NORTHGATE,126507,57
CAPITOL HILL,132025,58
DOWNTOWN COMMERCIAL,203334,59
